bucket,category,curated_path,original_path,width,height,bytes
high,project,assets/agw/photos/curated/high/project--20181220-152132--4032x1960--7971b2ec.jpg,assets/agw/photos/raw/Floors/Floor Pics/20181220_152132.jpg,4032,1960,3458187
high,project,assets/agw/photos/curated/high/project--20200918-171523--4608x2592--22d1ed1c.jpg,assets/agw/photos/raw/Floors/Floor Pics/20200918_171523.jpg,4608,2592,4418933
high,project,assets/agw/photos/curated/high/project--5zm9g5uw--2048x3072--5e77abf3.jpeg,assets/agw/photos/raw/Floors/Floor Pics/5ZM9G5uw.jpeg,2048,3072,694409
high,project,assets/agw/photos/curated/high/project--abnepfiw--2620x1543--5e0d3cb2.jpeg,assets/agw/photos/raw/Floors/Floor Pics/ABNePfIw.jpeg,2620,1543,672912
high,project,assets/agw/photos/curated/high/project--agw-floors-camaro39--5184x3456--2d397a22.jpg,assets/agw/photos/raw/Floors/Floor Pics/AGW Floors - Camaro39.jpg,5184,3456,9822226
high,project,assets/agw/photos/curated/high/project--agw-floors-firehouse-sep9--3456x2304--af000cb4.jpg,assets/agw/photos/raw/Floors/Floor Pics/AGW Floors Firehouse Sep9.jpg,3456,2304,4249990
high,project,assets/agw/photos/curated/high/project--agw-floors-firehouse-sep94--3456x2304--575c9e62.jpg,assets/agw/photos/raw/Floors/Floor Pics/AGW Floors Firehouse Sep94.jpg,3456,2304,4111208
high,project,assets/agw/photos/curated/high/project--o5tlogra--2048x3072--d3bc0532.jpeg,assets/agw/photos/raw/Floors/Floor Pics/O5tlOgrA.jpeg,2048,3072,958056
high,project,assets/agw/photos/curated/high/project--edjcwbaw--4032x1960--cd82d42a.jpeg,assets/agw/photos/raw/Floors/Floor Pics/edjcwBAw.jpeg,4032,1960,1106682
high,project,assets/agw/photos/curated/high/project--k39v411w--4032x3024--e06167bf.png,assets/agw/photos/raw/Floors/Floor Pics/k39V411w.png,4032,3024,11272192
high,project,assets/agw/photos/curated/high/project--rdkaq0ag--3500x2408--32fca839.jpeg,assets/agw/photos/raw/Floors/Floor Pics/rDKAQ0Ag.jpeg,3500,2408,1423269
low,project,assets/agw/photos/curated/low/project--wkr3mp0q--800x568--423923eb.jpeg,assets/agw/photos/raw/Floors/Floor Pics/wKr3MP0Q.jpeg,800,568,138210
low,project,assets/agw/photos/curated/low/project--xlbic3iw--800x535--bf47ca5a.png,assets/agw/photos/raw/Floors/Floor Pics/xLBic3Iw.png,800,535,885082
low,project,assets/agw/photos/curated/low/project--zxc3930a--800x533--50573669.jpeg,assets/agw/photos/raw/Floors/Floor Pics/zxC3930A.jpeg,800,533,127916
high,project,assets/agw/photos/curated/high/project--img-6176-1--4032x3024--045b9d06.png,assets/agw/photos/raw/Floors/Video Shoot_ Moretti-SchwabRozanne_091224/IMG_6176 (1).png,4032,3024,11272192
high,project,assets/agw/photos/curated/high/project--img-6176--4032x3024--045b9d06.png,assets/agw/photos/raw/Floors/Video Shoot_ Moretti-SchwabRozanne_091224/IMG_6176.png,4032,3024,11272192
high,project,assets/agw/photos/curated/high/project--img-6178-1--3024x4032--2dc8c8d5.png,assets/agw/photos/raw/Floors/Video Shoot_ Moretti-SchwabRozanne_091224/IMG_6178 (1).png,3024,4032,11272192
high,project,assets/agw/photos/curated/high/project--img-6178--3024x4032--2dc8c8d5.png,assets/agw/photos/raw/Floors/Video Shoot_ Moretti-SchwabRozanne_091224/IMG_6178.png,3024,4032,11272192
high,project,assets/agw/photos/curated/high/project--img-6179-1--4032x3024--d397baea.png,assets/agw/photos/raw/Floors/Video Shoot_ Moretti-SchwabRozanne_091224/IMG_6179 (1).png,4032,3024,11272192
high,project,assets/agw/photos/curated/high/project--img-6179--4032x3024--d397baea.png,assets/agw/photos/raw/Floors/Video Shoot_ Moretti-SchwabRozanne_091224/IMG_6179.png,4032,3024,11272192
high,project,assets/agw/photos/curated/high/project--img-6180-1--3024x4032--b977ec1e.png,assets/agw/photos/raw/Floors/Video Shoot_ Moretti-SchwabRozanne_091224/IMG_6180 (1).png,3024,4032,11272192
high,project,assets/agw/photos/curated/high/project--img-6180--3024x4032--b977ec1e.png,assets/agw/photos/raw/Floors/Video Shoot_ Moretti-SchwabRozanne_091224/IMG_6180.png,3024,4032,11272192
high,project,assets/agw/photos/curated/high/project--img-6181-1--3024x4032--1a96b6c0.png,assets/agw/photos/raw/Floors/Video Shoot_ Moretti-SchwabRozanne_091224/IMG_6181 (1).png,3024,4032,11272192
high,project,assets/agw/photos/curated/high/project--img-6181--3024x4032--1a96b6c0.png,assets/agw/photos/raw/Floors/Video Shoot_ Moretti-SchwabRozanne_091224/IMG_6181.png,3024,4032,11272192
high,project,assets/agw/photos/curated/high/project--img-6182-1--3024x4032--69a32a42.png,assets/agw/photos/raw/Floors/Video Shoot_ Moretti-SchwabRozanne_091224/IMG_6182 (1).png,3024,4032,11272192
high,project,assets/agw/photos/curated/high/project--img-6182--3024x4032--69a32a42.png,assets/agw/photos/raw/Floors/Video Shoot_ Moretti-SchwabRozanne_091224/IMG_6182.png,3024,4032,11272192
high,project,assets/agw/photos/curated/high/project--img-6183-1--3024x4032--8397d2e9.png,assets/agw/photos/raw/Floors/Video Shoot_ Moretti-SchwabRozanne_091224/IMG_6183 (1).png,3024,4032,7950753
