set,curated_path,original_path,width,height,bytes,ratio,tags
hero,assets/agw/photos/curated/high/project--agw-5614--5616x3744--c77838cc.jpg,assets/agw/photos/raw/Paint/High Res Imgs [1.2.25]/AGW_-5614.jpg,5616,3744,10539387,1.5000,wide
hero,assets/agw/photos/curated/high/project--lvkwelcg--5616x3744--f483c789.jpeg,assets/agw/photos/raw/Paint/High Res Imgs 2/lVkwELcg.jpeg,5616,3744,3369759,1.5000,wide
hero,assets/agw/photos/curated/high/project--zdl0tqlq--5616x3744--aff3f7f0.jpeg,assets/agw/photos/raw/Paint/High Res Imgs 2/Zdl0tqLQ.jpeg,5616,3744,3088691,1.5000,wide
hero,assets/agw/photos/curated/high/project--xyaebi2w--5616x3744--81f8abf2.jpeg,assets/agw/photos/raw/Paint/High Res Imgs 2/xyAeBI2w.jpeg,5616,3744,2458059,1.5000,wide
hero,assets/agw/photos/curated/high/project--p1xg5b5g--5616x3744--16df9087.jpeg,assets/agw/photos/raw/Paint/High Res Imgs 2/p1XG5b5g.jpeg,5616,3744,2431967,1.5000,wide
hero,assets/agw/photos/curated/high/project--agw-5888--5563x3618--0e728221.jpg,assets/agw/photos/raw/Paint/High Res Imgs [1.2.25]/AGW_-5888.jpg,5563,3618,10503846,1.5376,wide
hero,assets/agw/photos/curated/high/project--agw-5596--5327x3504--8d98e8cd.jpg,assets/agw/photos/raw/Paint/High Res Imgs [1.2.25]/AGW_-5596.jpg,5327,3504,8327389,1.5203,wide
hero,assets/agw/photos/curated/high/project--agw-floors-camaro39--5184x3456--2d397a22.jpg,assets/agw/photos/raw/Floors/Floor Pics/AGW Floors - Camaro39.jpg,5184,3456,9822226,1.5000,floors wide
hero,assets/agw/photos/curated/high/project--agw-5564--4780x3327--4757f361.jpg,assets/agw/photos/raw/Paint/High Res Imgs [1.2.25]/AGW_-5564.jpg,4780,3327,8863122,1.4367,wide
hero,assets/agw/photos/curated/high/project--20160526-121723--5312x2988--514c785a.jpg,assets/agw/photos/raw/Paint/Paint Van/20160526_121723.jpg,5312,2988,4997049,1.7778,team-vehicle wide
hero,assets/agw/photos/curated/high/project--20160526-121615--5312x2988--aa0efa26.jpg,assets/agw/photos/raw/Paint/Paint Van/20160526_121615.jpg,5312,2988,4900338,1.7778,team-vehicle wide
hero,assets/agw/photos/curated/high/project--20200918-171523--4608x2592--22d1ed1c.jpg,assets/agw/photos/raw/Floors/Floor Pics/20200918_171523.jpg,4608,2592,4418933,1.7778,floors wide
hero,assets/agw/photos/curated/high/project--agwflooringsat484--4608x2184--8039ca6a.jpg,assets/agw/photos/raw/Paint/Paint Van/AGWFlooringSat484.jpg,4608,2184,1036679,2.1099,floors team-vehicle wide
hero,assets/agw/photos/curated/high/project--rdkaq0ag--3500x2408--32fca839.jpeg,assets/agw/photos/raw/Floors/Floor Pics/rDKAQ0Ag.jpeg,3500,2408,1423269,1.4535,floors wide
services,assets/agw/photos/curated/high/project--k39v411w--4032x3024--e06167bf.png,assets/agw/photos/raw/Floors/Floor Pics/k39V411w.png,4032,3024,11272192,1.3333,floors standard
services,assets/agw/photos/curated/high/project--img-6176-1--4032x3024--045b9d06.png,assets/agw/photos/raw/Floors/Video Shoot_ Moretti-SchwabRozanne_091224/IMG_6176 (1).png,4032,3024,11272192,1.3333,floors standard
